owner,study,year,trt_n,date,cum_rate_n_kgha
rosen lab,blcmr,1991,n.5,1991-05-10,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-10,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-10,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-10,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-10,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-11,0
rosen lab,blcmr,1991,n.10,1991-05-11,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-11,0
rosen lab,blcmr,1991,n.3,1991-05-11,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-11,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-11,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-11,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-11,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-11,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-11,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-12,0
rosen lab,blcmr,1991,n.10,1991-05-12,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-12,0
rosen lab,blcmr,1991,n.3,1991-05-12,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-12,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-12,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-12,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-12,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-12,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-12,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-13,0
rosen lab,blcmr,1991,n.10,1991-05-13,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-13,0
rosen lab,blcmr,1991,n.3,1991-05-13,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-13,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-13,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-13,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-13,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-13,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-13,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-14,0
rosen lab,blcmr,1991,n.10,1991-05-14,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-14,0
rosen lab,blcmr,1991,n.3,1991-05-14,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-14,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-14,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-14,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-14,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-14,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-14,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-15,0
rosen lab,blcmr,1991,n.10,1991-05-15,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-15,0
rosen lab,blcmr,1991,n.3,1991-05-15,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-15,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-15,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-15,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-15,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-15,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-15,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-16,0
rosen lab,blcmr,1991,n.10,1991-05-16,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-16,0
rosen lab,blcmr,1991,n.3,1991-05-16,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-16,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-16,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-16,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-16,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-16,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-16,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-17,0
rosen lab,blcmr,1991,n.10,1991-05-17,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-17,0
rosen lab,blcmr,1991,n.3,1991-05-17,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-17,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-17,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-17,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-17,89.6679400819401
